1384	NM_005163	chr14	-	104769349	104793601	104770340	104792643	14	104769349,104770744,104772364,104772877,104773250,104773454,104773911,104774937,104775075,104775651,104776658,104780087,104792597,104793126,	104770420,104770847,104772452,104773092,104773379,104773580,104773980,104775003,104775207,104775799,104776770,104780216,104792722,104793601,	0	AKT1	cmpl	cmpl	1,0,2,0,0,0,0,0,0,2,1,1,0,-1,
1384	NM_001014432	chr14	-	104769349	104795743	104770340	104792643	15	104769349,104770744,104772364,104772877,104773250,104773454,104773911,104774937,104775075,104775651,104776658,104780087,104792597,104793126,104795483,	104770420,104770847,104772452,104773092,104773379,104773580,104773980,104775003,104775207,104775799,104776770,104780216,104792722,104793210,104795743,	0	AKT1	cmpl	cmpl	1,0,2,0,0,0,0,0,0,2,1,1,0,-1,-1,
1384	NM_001014431	chr14	-	104769349	104795743	104770340	104792643	14	104769349,104770744,104772364,104772877,104773250,104773454,104773911,104774937,104775075,104775651,104776658,104780087,104792597,104795483,	104770420,104770847,104772452,104773092,104773379,104773580,104773980,104775003,104775207,104775799,104776770,104780216,104792722,104795743,	0	AKT1	cmpl	cmpl	1,0,2,0,0,0,0,0,0,2,1,1,0,-1,
12	NM_004304	chr2	-	29192773	29921611	29193223	29920659	29	29192773,29196769,29197541,29207170,29209785,29213983,29220705,29222343,29222516,29223341,29225460,29226921,29227573,29228883,29232303,29233564,29239679,29251104,29275098,29275401,29296887,29318303,29320750,29328349,29383731,29531914,29694849,29717577,29919992,	29193922,29196860,29197676,29207272,29209878,29214081,29220835,29222408,29222607,29223528,29225565,29227074,29227672,29229066,29232448,29233696,29239830,29251267,29275227,29275496,29297057,29318404,29320882,29328481,29383859,29532116,29695014,29717697,29921611,	0	ALK	cmpl	cmpl	0,2,2,2,2,0,2,0,2,1,1,1,1,1,0,0,2,1,1,2,0,1,1,1,2,1,1,1,0,
807	NM_001353765	chr2	-	29192773	29223900	29193223	29223496	10	29192773,29196769,29197541,29207170,29209785,29213983,29220705,29222343,29222516,29223341,	29193922,29196860,29197676,29207272,29209878,29214081,29220835,29222408,29222607,29223900,	0	ALK	cmpl	cmpl	0,2,2,2,2,0,2,0,2,0,
180	NM_001354895	chr5	+	112707504	112846239	112754890	112844126	16	112707504,112754872,112766325,112767188,112775628,112780789,112792445,112801278,112815494,112818965,112821895,112827107,112827928,112828855,112834950,112837552,	112707882,112755025,112766410,112767390,112775737,112780903,112792529,112801383,112815593,112819344,112821991,112827247,112828006,112828972,112835165,112846239,	0	APC	cmpl	cmpl	-1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,2,
180	NM_001354897	chr5	+	112707504	112846239	112707717	112844126	15	112707504,112766325,112767188,112775628,112780789,112792445,112801278,112815494,112818965,112821895,112827107,112827928,112828855,112834950,112837552,	112707882,112766410,112767390,112775737,112780903,112792529,112801383,112815593,112819344,112821991,112827247,112828006,112828972,112835165,112846239,	0	APC	cmpl	cmpl	0,0,1,2,0,0,0,0,0,1,1,0,0,0,2,
180	NM_001127511	chr5	+	112707504	112846239	112707717	112844126	14	112707504,112766325,112767188,112775628,112780789,112801278,112815494,112818965,112821895,112827107,112827928,112828855,112834950,112837552,	112707882,112766410,112767390,112775737,112780903,112801383,112815593,112819344,112821991,112827247,112828006,112828972,112835165,112846239,	0	APC	cmpl	cmpl	0,0,1,2,0,0,0,0,1,1,0,0,0,2,
180	NM_001354902	chr5	+	112707504	112846239	112707717	112844126	15	112707504,112766325,112767188,112775628,112780789,112792445,112801278,112815494,112819268,112821895,112827107,112827928,112828855,112834950,112837552,	112707882,112766410,112767390,112775737,112780903,112792529,112801383,112815593,112819344,112821991,112827247,112828006,112828972,112835165,112846239,	0	APC	cmpl	cmpl	0,0,1,2,0,0,0,0,0,1,1,0,0,0,2,
1445	NM_001354905	chr5	+	112737858	112846239	112766367	112844126	15	112737858,112766325,112767188,112775628,112780789,112792445,112801278,112815494,112819268,112821895,112827107,112827928,112828855,112834950,112837552,	112737925,112766410,112767390,112775737,112780903,112792529,112801383,112815593,112819344,112821991,112827247,112828006,112828972,112835165,112846239,	0	APC	cmpl	cmpl	-1,0,1,2,0,0,0,0,0,1,1,0,0,0,2,
1445	NM_001354903	chr5	+	112737858	112846239	112754890	112844126	16	112737858,112754872,112766325,112767188,112775628,112780789,112792445,112801278,112815494,112819268,112821895,112827107,112827928,112828855,112834950,112837552,	112737925,112755025,112766410,112767390,112775737,112780903,112792529,112801383,112815593,112819344,112821991,112827247,112828006,112828972,112835165,112846239,	0	APC	cmpl	cmpl	-1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,2,
1445	NM_001354898	chr5	+	112737858	112846239	112738400	112844126	16	112737858,112738352,112766325,112767188,112775628,112780789,112792445,112801278,112815494,112818965,112821895,112827107,112827928,112828855,112834950,112837552,	112737925,112738460,112766410,112767390,112775737,112780903,112792529,112801383,112815593,112819344,112821991,112827247,112828006,112828972,112835165,112846239,	0	APC	cmpl	cmpl	-1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,2,
1445	NM_001354896	chr5	+	112737858	112846239	112754890	112844126	17	112737858,112754872,112766325,112767188,112775628,112780789,112792445,112801278,112815494,112818965,112821895,112823306,112827107,112827928,112828855,112834950,112837552,	112737925,112755025,112766410,112767390,112775737,112780903,112792529,112801383,112815593,112819344,112821991,112823360,112827247,112828006,112828972,112835165,112846239,	0	APC	cmpl	cmpl	-1,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,2,
1445	NM_001354906	chr5	+	112737858	112846239	112815509	112844126	17	112737858,112754872,112766325,112767188,112775628,112780789,112792445,112801278,112810125,112815494,112818965,112821895,112827107,112827928,112828855,112834950,112837552,	112737925,112755025,112766410,112767390,112775737,112780903,112792529,112801383,112810311,112815593,112819344,112821991,112827247,112828006,112828972,112835165,112846239,	0	APC	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,0,0,2,
1445	NM_001354900	chr5	+	112737858	112846239	112766367	112844126	16	112737858,112766325,112767188,112775628,112780789,112792445,112801278,112815494,112818965,112821895,112823306,112827107,112827928,112828855,112834950,112837552,	112737925,112766410,112767390,112775737,112780903,112792529,112801383,112815593,112819344,112821991,112823360,112827247,112828006,112828972,112835165,112846239,	0	APC	cmpl	cmpl	-1,0,1,2,0,0,0,0,0,1,1,1,0,0,0,2,
1445	NM_001354904	chr5	+	112737858	112846239	112738400	112844126	16	112737858,112738352,112766325,112767188,112775628,112780789,112792445,112801278,112815494,112819268,112821895,112827107,112827928,112828855,112834950,112837552,	112737925,112738460,112766410,112767390,112775737,112780903,112792529,112801383,112815593,112819344,112821991,112827247,112828006,112828972,112835165,112846239,	0	APC	cmpl	cmpl	-1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,2,
1445	NM_000038	chr5	+	112737858	112846239	112754890	112844126	16	112737858,112754872,112766325,112767188,112775628,112780789,112792445,112801278,112815494,112818965,112821895,112827107,112827928,112828855,112834950,112837552,	112737925,112755025,112766410,112767390,112775737,112780903,112792529,112801383,112815593,112819344,112821991,112827247,112828006,112828972,112835165,112846239,	0	APC	cmpl	cmpl	-1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,2,
1445	NM_001354899	chr5	+	112737858	112846239	112754890	112844126	15	112737858,112754872,112766325,112767188,112775628,112780789,112801278,112815494,112818965,112821895,112827107,112827928,112828855,112834950,112837552,	112737925,112755025,112766410,112767390,112775737,112780903,112801383,112815593,112819344,112821991,112827247,112828006,112828972,112835165,112846239,	0	APC	cmpl	cmpl	-1,0,0,1,2,0,0,0,0,1,1,0,0,0,2,
1445	NM_001127510	chr5	+	112737858	112846239	112754890	112844126	17	112737858,112738352,112754872,112766325,112767188,112775628,112780789,112792445,112801278,112815494,112818965,112821895,112827107,112827928,112828855,112834950,112837552,	112737925,112738460,112755025,112766410,112767390,112775737,112780903,112792529,112801383,112815593,112819344,112821991,112827247,112828006,112828972,112835165,112846239,	0	APC	cmpl	cmpl	-1,-1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,2,
1445	NM_001354901	chr5	+	112737858	112846239	112766367	112844126	15	112737858,112766325,112767188,112775628,112780789,112792445,112801278,112815494,112818965,112821895,112827107,112827928,112828855,112834950,112837552,	112737925,112766410,112767390,112775737,112780903,112792529,112801383,112815593,112819344,112821991,112827247,112828006,112828972,112835165,112846239,	0	APC	cmpl	cmpl	-1,0,1,2,0,0,0,0,0,1,1,0,0,0,2,
137	NM_001348061	chrX	+	67544622	67696075	67545146	67694722	4	67544622,67643255,67686009,67694672,	67546762,67643407,67686126,67696075,	0	AR	cmpl	cmpl	0,2,1,1,
137	NM_000044	chrX	+	67544622	67730619	67545146	67723841	8	67544622,67643255,67686009,67711401,67717477,67721832,67722826,67723685,	67546762,67643407,67686126,67711689,67717622,67721963,67722984,67730619,	0	AR	cmpl	cmpl	0,2,1,1,1,2,1,0,
